title:estres_1, start timestamp:1695758897.191525, stop timestamp:1695759025.026200, headset type:INSIGHT2, headset serial:A3D20207, headset firmware:a11, channels:31, sampling rate:eeg_128;mc_8, samples:16369     , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MC.Action,MC.ActionPower,MC.IsActive
1695758897.418016,1695758897.418800,12.000000,0.000000,4267.820313,4274.102539,4115.897461,4184.102539,4264.871582,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.425826,1695758897.426610,13.000000,0.000000,4279.615234,4257.436035,4117.948730,4194.615234,4287.563965,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.433636,1695758897.434420,14.000000,0.000000,4285.000000,4230.128418,4118.333496,4185.897461,4305.897461,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.441446,1695758897.442231,15.000000,0.000000,4269.615234,4263.461426,4104.230957,4176.538574,4298.589844,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.449256,1695758897.449941,16.000000,0.000000,4252.948730,4300.897461,4087.307617,4175.128418,4286.282227,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.457066,1695758897.457751,17.000000,0.000000,4247.307617,4288.077148,4077.179443,4156.410156,4277.563965,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.464876,1695758897.465561,18.000000,0.000000,4255.000000,4270.769043,4082.948730,4149.358887,4276.794922,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,1.000000,0.000000,0.000000
1695758897.472686,1695758897.473371,19.000000,0.000000,4268.461426,4257.948730,4097.051270,4166.282227,4288.077148,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.480496,1695758897.481281,20.000000,0.000000,4273.717773,4246.153809,4097.563965,4167.563965,4292.051270,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.488306,1695758897.489091,21.000000,0.000000,4278.717773,4270.512695,4097.692383,4168.974121,4288.717773,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.496116,1695758897.496901,22.000000,0.000000,4284.615234,4306.153809,4114.230957,4186.538574,4296.666504,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.503926,1695758897.504712,23.000000,0.000000,4273.333496,4307.179688,4123.589844,4184.230957,4301.282227,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.511736,1695758897.512622,24.000000,0.000000,4264.743652,4294.358887,4121.282227,4182.436035,4297.563965,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.519546,1695758897.520432,25.000000,0.000000,4282.307617,4293.461426,4127.563965,4206.794922,4307.692383,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.527356,1695758897.528242,26.000000,0.000000,4296.538574,4301.666504,4132.307617,4212.692383,4319.615234,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.535166,1695758897.536052,27.000000,0.000000,4294.871582,4293.461426,4125.256348,4201.410156,4316.794922,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.542977,1695758897.543762,28.000000,0.000000,4305.256348,4256.282227,4122.307617,4210.256348,4322.307617,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.550786,1695758897.551572,29.000000,0.000000,4316.794922,4263.846191,4124.743652,4211.666504,4339.230957,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.558596,1695758897.559382,30.000000,0.000000,4305.384766,4344.102539,4126.025879,4193.717773,4345.512695,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.566407,1695758897.567192,31.000000,0.000000,4308.717773,4367.563965,4131.922852,4195.641113,4355.512695,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.574216,1695758897.574903,32.000000,0.000000,4354.230957,4292.051270,4133.846191,4215.256348,4385.000000,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.582027,1695758897.582713,33.000000,0.000000,4391.922852,4245.769043,4128.461426,4225.000000,4408.974121,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.589837,1695758897.590523,34.000000,0.000000,4391.538574,4278.846191,4139.871582,4227.051270,4414.102539,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,1.000000,0.000000,0.000000
1695758897.597647,1695758897.598333,35.000000,0.000000,4391.410156,4336.025879,4164.230957,4231.410156,4417.563965,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.605457,1695758897.606043,36.000000,0.000000,4396.922852,4364.358887,4170.384766,4238.077148,4419.230957,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.613267,1695758897.613853,37.000000,0.000000,4379.871582,4324.743652,4165.256348,4244.615234,4410.128418,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.621077,1695758897.621663,38.000000,0.000000,4366.153809,4268.974121,4164.102539,4251.666504,4404.358887,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.628887,1695758897.629474,39.000000,0.000000,4377.051270,4277.563965,4154.102539,4256.410156,4405.000000,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.636697,1695758897.637184,40.000000,0.000000,4375.000000,4305.641113,4140.641113,4241.153809,4388.717773,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.644507,1695758897.644994,41.000000,0.000000,4359.102539,4314.230957,4138.205078,4215.512695,4361.025879,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.652317,1695758897.652804,42.000000,0.000000,4366.538574,4329.102539,4140.641113,4221.153809,4360.897461,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
